Date,Open,High,Low,Close,Adj Close,Volume
2019-04-15,376.700012,377.899994,373.679993,375.459991,373.315277,3822100
2019-04-16,376.510010,384.640015,375.029999,381.720001,379.539520,7083800
2019-04-17,384.100006,384.190002,377.480011,377.519989,375.363495,4424400
2019-04-18,377.519989,382.170013,377.519989,380.070007,377.898956,4703100
2019-04-22,375.690002,378.950012,374.899994,375.170013,373.026947,4147700
2019-04-23,375.540009,376.869995,372.609985,374.019989,371.883484,4894500
2019-04-24,377.890015,381.149994,373.660004,375.459991,373.315277,9855100
2019-04-25,376.010010,384.799988,372.760010,382.799988,380.613342,6615000
2019-04-26,383.890015,384.000000,378.140015,380.790009,378.614838,4259600
2019-04-29,378.489990,385.299988,376.760010,379.049988,376.884766,5457300
2019-04-30,379.500000,381.140015,375.049988,377.690002,375.532532,3732800
2019-05-01,378.529999,381.200012,376.380005,376.799988,374.647614,2765600
2019-05-02,375.500000,377.649994,373.250000,375.799988,373.653320,2438800
2019-05-03,376.079987,377.899994,374.220001,376.459991,374.309540,2953800
2019-05-06,367.880005,372.480011,365.630005,371.600006,369.477325,4747600
2019-05-07,366.329987,367.709991,355.019989,357.230011,355.189423,9740300
2019-05-08,357.769989,361.519989,353.329987,359.750000,357.695007,6030000
2019-05-09,354.760010,355.649994,347.470001,354.130005,354.130005,6075200
2019-05-10,351.869995,355.540009,347.549988,354.670013,354.670013,4574100
2019-05-13,344.510010,346.630005,337.000000,337.369995,337.369995,7752500
2019-05-14,339.899994,346.075012,337.228912,344.269989,344.269989,3156175
