Date,Open,High,Low,Close,Adj Close,Volume
2010-11-30,265675008.000000,280875008.000000,260975008.000000,280875008.000000,280875008.000000,0
2010-12-01,249950000.000000,251724992.000000,247000000.000000,251724992.000000,251724992.000000,0
2010-12-02,245775008.000000,245775008.000000,216250000.000000,216475008.000000,216475008.000000,0
2010-12-03,220900000.000000,220900000.000000,195300000.000000,196950000.000000,196950000.000000,0
2010-12-06,199424992.000000,200000000.000000,186550000.000000,189224992.000000,189224992.000000,0
2010-12-07,187500000.000000,187500000.000000,175250000.000000,185324992.000000,185324992.000000,0
2010-12-08,184300000.000000,189750000.000000,175000000.000000,177300000.000000,177300000.000000,0
2010-12-09,166900000.000000,173700000.000000,166900000.000000,168724992.000000,168724992.000000,0
2010-12-10,166550000.000000,167250000.000000,163624992.000000,165875008.000000,165875008.000000,0
2010-12-13,163000000.000000,172500000.000000,163000000.000000,171875008.000000,171875008.000000,0
2010-12-14,170950000.000000,176000000.000000,169824992.000000,173750000.000000,173750000.000000,0
2010-12-15,173000000.000000,182000000.000000,169624992.000000,182000000.000000,182000000.000000,0
2010-12-16,180250000.000000,182875008.000000,174475008.000000,178950000.000000,178950000.000000,0
2010-12-17,175600000.000000,176350000.000000,166100000.000000,168275008.000000,168275008.000000,0
2010-12-20,164675008.000000,168300000.000000,158524992.000000,160000000.000000,160000000.000000,0
2010-12-21,155750000.000000,156875008.000000,153150000.000000,154250000.000000,154250000.000000,0
2010-12-22,151250000.000000,154250000.000000,150800000.000000,153224992.000000,153224992.000000,0
2010-12-23,154500000.000000,166600000.000000,153750000.000000,162275008.000000,162275008.000000,0
2010-12-27,166400000.000000,173275008.000000,166400000.000000,169200000.000000,169200000.000000,0
2010-12-28,168024992.000000,174924992.000000,168024992.000000,172824992.000000,172824992.000000,0
2010-12-29,171100000.000000,171650000.000000,167424992.000000,167524992.000000,167524992.000000,0
2010-12-30,169050000.000000,169724992.000000,163624992.000000,164650000.000000,164650000.000000,0
2010-12-31,165224992.000000,167124992.000000,161275008.000000,161800000.000000,161800000.000000,0
2011-01-03,156375008.000000,156375008.000000,149150000.000000,151250000.000000,151250000.000000,0
2011-01-04,151624992.000000,160924992.000000,149975008.000000,149975008.000000,149975008.000000,0
2011-01-05,156100000.000000,156224992.000000,144950000.000000,146550000.000000,146550000.000000,0
2011-01-06,145324992.000000,150000000.000000,143775008.000000,147350000.000000,147350000.000000,0
2011-01-07,145000000.000000,155950000.000000,140450000.000000,148075008.000000,148075008.000000,0
2011-01-10,152500000.000000,157500000.000000,146024992.000000,147375008.000000,147375008.000000,0
2011-01-11,142975008.000000,145200000.000000,138524992.000000,138524992.000000,138524992.000000,0
2011-01-12,135000000.000000,135000000.000000,126000000.000000,126925000.000000,126925000.000000,0
2011-01-13,126050000.000000,129000000.000000,123750000.000000,124450000.000000,124450000.000000,0
2011-01-14,124625000.000000,124625000.000000,110950000.000000,113250000.000000,113250000.000000,0
2011-01-18,113125000.000000,113250000.000000,105225000.000000,105700000.000000,105700000.000000,0
2011-01-19,107475000.000000,121500000.000000,107050000.000000,117125000.000000,117125000.000000,0
2011-01-20,118975000.000000,124000000.000000,114500000.000000,115575000.000000,115575000.000000,0
2011-01-21,108575000.000000,118500000.000000,108375000.000000,118125000.000000,118125000.000000,0
2011-01-24,118000000.000000,119950000.000000,111075000.000000,112775000.000000,112775000.000000,0
2011-01-25,114050000.000000,118425000.000000,109825000.000000,110000000.000000,110000000.000000,0
2011-01-26,107525000.000000,109275000.000000,102100000.000000,103350000.000000,103350000.000000,0
2011-01-27,102700000.000000,104900000.000000,98750000.000000,99000000.000000,99000000.000000,0
2011-01-28,98550000.000000,118325000.000000,95800000.000000,115275000.000000,115275000.000000,0
2011-01-31,112000000.000000,116400000.000000,111175000.000000,114100000.000000,114100000.000000,0
2011-02-01,108350000.000000,109125000.000000,101250000.000000,103625000.000000,103625000.000000,0
2011-02-02,106000000.000000,106000000.000000,100000000.000000,103025000.000000,103025000.000000,0
2011-02-03,103625000.000000,108625000.000000,99500000.000000,100000000.000000,100000000.000000,0
2011-02-04,99475000.000000,101375000.000000,94750000.000000,95325000.000000,95325000.000000,0
2011-02-07,93150000.000000,93150000.000000,90000000.000000,92350000.000000,92350000.000000,0
2011-02-08,92525000.000000,95175000.000000,88900000.000000,89875000.000000,89875000.000000,0
2011-02-09,91750000.000000,94350000.000000,89625000.000000,90650000.000000,90650000.000000,0
2011-02-10,94725000.000000,95050000.000000,89575000.000000,90400000.000000,90400000.000000,0
2011-02-11,92075000.000000,92250000.000000,86875000.000000,87250000.000000,87250000.000000,0
2011-02-14,87050000.000000,88350000.000000,85525000.000000,85725000.000000,85725000.000000,0
2011-02-15,87100000.000000,88350000.000000,86125000.000000,87900000.000000,87900000.000000,0
